keyword,count,avg_points,parent
Origin,,,
Vineyard,12063,0.4905952084887673,Origin
Noir,11840,0.4632939189189189,Origin
Red,11534,0.4298248656147044,Origin
Sauvignon,11533,0.41308852857018985,Origin
Pinot,10618,0.4754520625353174,Origin
de,10422,0.41394166186912307,Origin
Château,7424,0.4394733297413793,Origin
Cabernet,6996,0.4430746140651801,Origin
Blanc,6493,0.37307099953796397,Origin
Chardonnay,6064,0.4320168205804749,Origin
NV,4626,0.37021184608733243,Origin
Domaine,4505,0.4666592674805772,Origin
di,4280,0.4402336448598131,Origin
Riesling,4262,0.49123650868137025,Origin
White,3737,0.37057800374632055,Origin
Rosé,3716,0.35959364908503766,Origin
Brut,3226,0.4386546807191568,Origin
Reserve,2903,0.4388219083706511,Origin
Syrah,2562,0.46360265417642466,Origin
&,2384,0.43009647651006705,Origin
Cru,2275,0.5738461538461539,Origin
Sparkling,2245,0.39841870824053455,Origin
Reserva,2151,0.4107159460715946,Origin
Estate,2121,0.46334276284771336,Origin
La,2034,0.4121435594886922,Origin
Zinfandel,2005,0.400074812967581,Origin
Malbec,1961,0.41165221825599185,Origin
la,1621,0.4202344231955583,Origin
del,1569,0.3878266411727215,Origin
Gris,1471,0.42573079537729436,Origin
du,1447,0.4327574291637872,Origin
Merlot,1426,0.357328190743338,Origin
Bordeaux,1420,0.3266549295774648,Origin
Grown,1382,0.4466353111432706,Origin
Veltliner,1351,0.49985196150999256,Origin
Quinta,1319,0.4407126611068991,Origin
Grand,1303,0.5503069838833461,Origin
Premier,1300,0.5580384615384616,Origin
Franc,1247,0.40024057738572577,Origin
Grüner,1189,0.5100925147182507,Origin
des,1172,0.43562286689419794,Origin
do,1142,0.4227670753064799,Origin
Montalcino,1139,0.47137840210711146,Origin
Red,1125,0.4710666666666667,Origin
Vineyards,1107,0.4262872628726287,Origin
Ranch,1074,0.46452513966480447,Origin
da,1061,0.4163053722902922,Origin
Grigio,1052,0.3124049429657794,Origin
